,subjectivity,polarity,date,Open,High,Low,Close,Adj Close,Volume,Net_Change,Percent_Change
0,65.90530844199998,8.80923299,2021-01-28,265.0,483.0,112.25,193.60000610351562,193.60000610351562,58815800.0,-71.39999389648438,-0.26943393923201653
1,734.0384556980009,72.78989312599997,2021-01-29,379.7099914550781,413.9800109863281,250.0,325.0,325.0,50566100.0,-54.709991455078125,-0.1440836235186364
4,66.38115764299997,5.184502255999998,2021-02-01,316.55999755859375,322.0,212.0,225.0,225.0,37382200.0,-91.55999755859375,-0.2892342629035004
5,95.6606908390001,19.768387311000005,2021-02-02,140.75999450683594,158.0,74.22000122070312,90.0,90.0,78183100.0,-50.75999450683594,-0.36061378578961795
6,150.26341510500006,24.998924674000016,2021-02-03,112.01000213623047,113.4000015258789,85.25,92.41000366210938,92.41000366210938,42698500.0,-19.599998474121094,-0.17498435943499843
7,69.467806173,5.920135521999999,2021-02-04,91.19000244140625,91.5,53.33000183105469,53.5,53.5,62427300.0,-37.69000244140625,-0.4133128789597719
8,151.6529247160001,15.295492016,2021-02-05,54.040000915527344,95.0,51.09000015258789,63.77000045776367,63.77000045776367,81345000.0,9.729999542236328,0.18005180195029571
11,15.661736411000003,-2.3255959899999996,2021-02-08,72.41000366210938,72.66000366210938,58.02000045776367,60.0,60.0,25687300.0,-12.410003662109375,-0.17138520970139473
12,6.751420455,0.9202178030000001,2021-02-09,56.61000061035156,57.0,46.52000045776367,50.310001373291016,50.310001373291016,26843100.0,-6.299999237060547,-0.11128774366959722
13,10.992839106000002,-1.051453825,2021-02-10,50.77000045776367,62.83000183105469,46.54999923706055,51.20000076293945,51.20000076293945,36455000.0,0.43000030517578125,0.008469574577481145
14,3.120454545,1.109090909,2021-02-11,50.0099983215332,55.31999969482422,48.220001220703125,51.099998474121094,51.099998474121094,13056700.0,1.0900001525878906,0.02179564465449223
15,2.113392857,0.3488095239999999,2021-02-12,50.75,55.2400016784668,48.04999923706055,52.400001525878906,52.400001525878906,14573300.0,1.6500015258789062,0.032512345337515396
19,0.330357143,0.142857143,2021-02-16,52.65999984741211,53.5,49.040000915527344,49.5099983215332,49.5099983215332,8175000.0,-3.1500015258789062,-0.059817727592221176
20,2.7720151520000003,-0.45226767599999995,2021-02-17,49.77000045776367,51.189998626708984,44.560001373291016,45.939998626708984,45.939998626708984,9186800.0,-3.8300018310546875,-0.0769540244289317
21,6.2502525250000005,0.8741792919999999,2021-02-18,48.4900016784668,48.869998931884766,40.650001525878906,40.689998626708984,40.689998626708984,23990600.0,-7.8000030517578125,-0.1608579662149527
22,7.372123015999999,1.4306096679999998,2021-02-19,41.279998779296875,43.88999938964844,38.5,40.59000015258789,40.59000015258789,14828200.0,-0.6899986267089844,-0.016715083505647748
25,3.577777777,0.40388888900000003,2021-02-22,46.689998626708984,48.5099983215332,42.400001525878906,46.0,46.0,19476000.0,-0.6899986267089844,-0.014778296144867973
26,9.689484125999998,1.854428211,2021-02-23,44.970001220703125,46.22999954223633,40.0,44.970001220703125,44.970001220703125,7565200.0,0.0,0.0
27,6.299098123999999,2.004689754,2021-02-24,44.70000076293945,91.70999908447266,44.70000076293945,91.70999908447266,91.70999908447266,83111700.0,47.0099983215332,1.0516777968493674
28,15.052149474,1.79241743,2021-02-25,169.55999755859375,184.67999267578125,101.0,108.7300033569336,108.7300033569336,150308800.0,-60.829994201660156,-0.3587520351351711
29,35.625805074,4.750538831999999,2021-02-26,117.45999908447266,142.89999389648438,86.0,101.73999786376953,101.73999786376953,92194200.0,-15.720001220703125,-0.13383280557833066
32,5.8625,1.4302777790000003,2021-03-01,104.54000091552734,133.99000549316406,99.97000122070312,120.4000015258789,120.4000015258789,49794000.0,15.860000610351562,0.15171226775832058
33,14.904539073,4.2965598289999996,2021-03-02,116.93000030517578,133.1999969482422,112.19999694824219,118.18000030517578,118.18000030517578,33783000.0,1.25,0.010690156475990961
34,26.676435184000002,-2.672466932999999,2021-03-03,122.51000213623047,127.75,113.12000274658203,124.18000030517578,124.18000030517578,19273900.0,1.6699981689453125,0.013631525098565286
35,17.729523809,2.0059523809999997,2021-03-04,125.0,147.8699951171875,115.30000305175781,132.35000610351562,132.35000610351562,32606900.0,7.350006103515625,0.058800048828125
36,17.965401036,0.0576080759999999,2021-03-05,128.1699981689453,151.52999877929688,127.5,137.74000549316406,137.74000549316406,30733700.0,9.57000732421875,0.0746665168209193
39,5.829001323,0.06008597799999996,2021-03-08,154.88999938964844,210.8699951171875,146.10000610351562,194.5,194.5,63565600.0,39.61000061035156,0.2557298777612286
40,19.49638889,2.186666667,2021-03-09,217.7100067138672,249.85000610351562,208.50999450683594,246.89999389648438,246.89999389648438,39099300.0,29.189987182617188,0.13407737946093184
41,31.925404641999986,2.388194744,2021-03-10,269.42999267578125,348.5,172.0,265.0,265.0,71570600.0,-4.42999267578125,-0.016442091809400317
42,33.255363036999995,5.555361435000001,2021-03-11,241.63999938964844,281.5,232.60000610351562,260.0,260.0,28312500.0,18.360000610351562,0.07598080059893463
43,16.041845237999997,-0.024609996999999995,2021-03-12,275.0,295.5,262.2699890136719,264.5,264.5,25845900.0,-10.5,-0.038181818181818185
46,3.5638888890000002,1.136736111,2021-03-15,277.5199890136719,283.0,206.0,220.13999938964844,220.13999938964844,24100400.0,-57.37998962402344,-0.20675984395919186
47,12.393915344,3.5048325510000002,2021-03-16,203.16000366210938,220.6999969482422,172.35000610351562,208.1699981689453,208.1699981689453,35422900.0,5.0099945068359375,0.02466033873069049
48,12.602164501,3.703750675,2021-03-17,217.83999633789062,231.47000122070312,204.0,209.80999755859375,209.80999755859375,16481600.0,-8.029998779296875,-0.03686191201932257
49,8.518542568,-0.31351010300000004,2021-03-18,214.0,218.8800048828125,195.64999389648438,201.75,201.75,11764900.0,-12.25,-0.05724299065420561
50,7.564478115000001,2.19638047,2021-03-19,195.72999572753906,227.0,182.66000366210938,200.27000427246094,200.27000427246094,24677300.0,4.540008544921875,0.023195262065205773
53,2.276111111,-0.23527777799999997,2021-03-22,205.25999450683594,210.36000061035156,186.1999969482422,194.49000549316406,194.49000549316406,10061500.0,-10.769989013671875,-0.05246998588082488
54,2.7319444440000002,0.9833333330000001,2021-03-23,197.5,201.75,177.5500030517578,181.75,181.75,14429100.0,-15.75,-0.07974683544303797
55,7.553055556,-0.4568055550000002,2021-03-24,157.97999572753906,166.97000122070312,118.62000274658203,120.33999633789062,120.33999633789062,24177900.0,-37.63999938964844,-0.23825800992275273
56,9.669074072999999,0.8898842580000005,2021-03-25,123.48999786376953,187.5,116.9000015258789,183.75,183.75,50962300.0,60.26000213623047,0.48797476053653754
57,11.126731602000003,1.341233765,2021-03-26,197.67999267578125,218.92999267578125,163.25999450683594,181.0,181.0,37430700.0,-16.67999267578125,-0.0843787600859457
60,1.75,0.3,2021-03-29,180.75,193.9199981689453,173.50999450683594,181.3000030517578,181.3000030517578,10042200.0,0.5500030517578125,0.0030428937856587135
61,2.0,1.9500000000000002,2021-03-30,187.5,204.3000030517578,182.0,194.4600067138672,194.4600067138672,17094900.0,6.9600067138671875,0.03712003580729167
62,0.5,0.0,2021-03-31,197.5,199.4600067138672,187.11000061035156,189.82000732421875,189.82000732421875,8393800.0,-7.67999267578125,-0.03888603886471519
63,1.722222222,-0.28888888900000004,2021-04-01,193.36000061035156,196.97000122070312,183.60000610351562,191.4499969482422,191.4499969482422,9334300.0,-1.910003662109375,-0.009877966777411784
67,0.46666666700000003,0.175,2021-04-05,171.0,195.0,164.80999755859375,186.9499969482422,186.9499969482422,14070500.0,15.949996948242188,0.09327483595463268
