,subjectivity,polarity,date
0,65.90530844199998,8.80923299,2021-01-28
1,734.0384556980009,72.78989312599997,2021-01-29
2,79.17855008300002,5.050013679000001,2021-01-30
3,75.96950636999996,9.969899514,2021-01-31
4,66.38115764299997,5.184502255999998,2021-02-01
5,95.6606908390001,19.768387311000005,2021-02-02
6,150.26341510500006,24.998924674000016,2021-02-03
7,69.467806173,5.920135521999999,2021-02-04
8,151.6529247160001,15.295492016,2021-02-05
9,170.45040314400003,18.805496709999996,2021-02-06
10,38.84556757699998,5.988912037000002,2021-02-07
11,15.661736411000003,-2.3255959899999996,2021-02-08
12,6.751420455,0.9202178030000001,2021-02-09
13,10.992839106000002,-1.051453825,2021-02-10
14,3.120454545,1.109090909,2021-02-11
15,2.113392857,0.3488095239999999,2021-02-12
16,4.001190476,1.313690476,2021-02-13
17,5.167142857,-0.808809524,2021-02-14
18,0.0,0.0,2021-02-15
19,0.330357143,0.142857143,2021-02-16
20,2.7720151520000003,-0.45226767599999995,2021-02-17
21,6.2502525250000005,0.8741792919999999,2021-02-18
22,7.372123015999999,1.4306096679999998,2021-02-19
23,6.13154762,2.797619047,2021-02-20
24,7.379828041,0.695171958,2021-02-21
25,3.577777777,0.40388888900000003,2021-02-22
26,9.689484125999998,1.854428211,2021-02-23
27,6.299098123999999,2.004689754,2021-02-24
28,15.052149474,1.79241743,2021-02-25
29,35.625805074,4.750538831999999,2021-02-26
30,14.782103174000003,3.9331186870000003,2021-02-27
31,4.024098124,1.5452589509999999,2021-02-28
32,5.8625,1.4302777790000003,2021-03-01
33,14.904539073,4.2965598289999996,2021-03-02
34,26.676435184000002,-2.672466932999999,2021-03-03
35,17.729523809,2.0059523809999997,2021-03-04
36,17.965401036,0.0576080759999999,2021-03-05
37,19.115239299000006,2.6651237070000002,2021-03-06
38,5.988888889,2.310221355,2021-03-07
39,5.829001323,0.06008597799999996,2021-03-08
40,19.49638889,2.186666667,2021-03-09
41,31.925404641999986,2.388194744,2021-03-10
42,33.255363036999995,5.555361435000001,2021-03-11
43,16.041845237999997,-0.024609996999999995,2021-03-12
44,11.389006132,3.343046537,2021-03-13
45,12.273602093,4.600622294999999,2021-03-14
46,3.5638888890000002,1.136736111,2021-03-15
47,12.393915344,3.5048325510000002,2021-03-16
48,12.602164501,3.703750675,2021-03-17
49,8.518542568,-0.31351010300000004,2021-03-18
50,7.564478115000001,2.19638047,2021-03-19
51,3.1999999999999997,0.441666667,2021-03-20
52,3.65,0.7125,2021-03-21
53,2.276111111,-0.23527777799999997,2021-03-22
54,2.7319444440000002,0.9833333330000001,2021-03-23
55,7.553055556,-0.4568055550000002,2021-03-24
56,9.669074072999999,0.8898842580000005,2021-03-25
57,11.126731602000003,1.341233765,2021-03-26
58,8.215399531,1.9881583689999998,2021-03-27
59,2.286111111,-0.22361111100000003,2021-03-28
60,1.75,0.3,2021-03-29
61,2.0,1.9500000000000002,2021-03-30
62,0.5,0.0,2021-03-31
63,1.722222222,-0.28888888900000004,2021-04-01
64,3.094444444,0.4733940970000001,2021-04-02
65,0.8541666670000001,0.715625,2021-04-03
66,0.283333333,0.25,2021-04-04
67,0.46666666700000003,0.175,2021-04-05
