,subjectivity,polarity,date,open_price,high_price,low_price,close_price,volume,adjclose_price,Net_Change
0,65.90530844,8.80923299,1/28/2021,265,483,112.25,193.600006,58815800,193.600006,-71.399994
1,734.0384557,72.78989313,1/29/2021,379.709991,413.980011,250,325,50566100,325,-54.709991
2,79.17855008,5.050013679,1/30/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,75.96950637,9.969899514,1/31/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,66.38115764,5.184502256,2/1/2021,316.559998,322,212,225,37382200,225,-91.559998
5,95.66069084,19.76838731,2/2/2021,140.759995,158,74.220001,90,78183100,90,-50.759995
6,150.2634151,24.99892467,2/3/2021,112.010002,113.400002,85.25,92.410004,42698500,92.410004,-19.599998
7,69.46780617,5.920135522,2/4/2021,91.190002,91.5,53.330002,53.5,62427300,53.5,-37.690002
8,151.6529247,15.29549202,2/5/2021,54.040001,95,51.09,63.77,81345000,63.77,9.729999
9,170.4504031,18.80549671,2/6/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,38.84556758,5.988912037,2/7/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,15.66173641,-2.32559599,2/8/2021,72.410004,72.660004,58.02,60,25687300,60,-12.410004
12,6.751420455,0.920217803,2/9/2021,56.610001,57,46.52,50.310001,26843100,50.310001,-6.3
13,10.99283911,-1.051453825,2/10/2021,50.77,62.830002,46.549999,51.200001,36455000,51.200001,0.430001
14,3.120454545,1.109090909,2/11/2021,50.009998,55.32,48.220001,51.099998,13056700,51.099998,1.09
15,2.113392857,0.348809524,2/12/2021,50.75,55.240002,48.049999,52.400002,14573300,52.400002,1.650002
16,4.001190476,1.313690476,2/13/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,5.167142857,-0.808809524,2/14/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,0,0,2/15/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,0.330357143,0.142857143,2/16/2021,52.66,53.5,49.040001,49.509998,8175000,49.509998,-3.150002
20,2.772015152,-0.452267676,2/17/2021,49.77,51.189999,44.560001,45.939999,9186800,45.939999,-3.830001
21,6.250252525,0.874179292,2/18/2021,48.490002,48.869999,40.650002,40.689999,23990600,40.689999,-7.800003
22,7.372123016,1.430609668,2/19/2021,41.279999,43.889999,38.5,40.59,14828200,40.59,-0.689999
